ID,Host,Isolate
KC285186,,Rus-Nsc12-N4263
KC285185,,Rus-Nsc12-N4029
KC285184,,Rus-Nsc12-N4022
KC285183,,Rus-Nsc12-N4208
KC285182,,Rus-Nsc12-N3983
KC285180,,Rus-Nsc12-N3766
KC285179,,Rus-Nsc12-N3711
KC285178,,Rus-Nsc12-N3708
KC285177,,Rus-Nsc12-N4703
KC285176,,Rus-Nsc12-N3651
KC285175,,Rus-Nsc12-N3581
KC285174,,Rus-Nsc12-N3560
KC285173,,Rus-Nsc12-N3528
KC285172,,Rus-Nsc12-N3501
KC285171,,Rus-Nsc11-N3448
KC285170,,Rus-Nsc11-N3427
KC285169,,Rus-Nsc11-N3426
KC285168,,Rus-Nsc11-N3423
KC285167,,Rus-Nsc11-N3378
KC285166,,Rus-Nsc11-N3372
KC285165,,Rus-Nsc11-N3329
KC285164,,Rus-Nsc11-N3308
KC285163,,Rus-Nsc11-N3303
KC285162,,Rus-Nsc11-N3271
KC285161,,Rus-Nsc11-N3240
KC285160,,Rus-Nsc11-N3179
KC285159,,Rus-Nsc11-N3104
KC285158,,Rus-Nsc11-N3020
KC285157,,Rus-Nsc11-N2691
KC285156,,Rus-Nsc11-N2673
KC285155,,Rus-Nsc11-N2613
KC285154,,Rus-Nsc11-N2531
KC285153,,Rus-Nsc11-N2484
KC285151,,Rus-Nsc11-N2373
KC285150,,Rus-Nsc11-N2324
KC285149,,Rus-Nsc11-N2319
KC285148,,Rus-Nsc11-N2106
KC285147,,Rus-Nsc11-N2105
KC285146,,Rus-Nsc11-N2101
KC285145,,Rus-Nsc11-N2100
KC285144,,Rus-Nsc11-N2099
KC285143,,Rus-Nsc11-N2096
KC285142,,Rus-Nsc11-N2080
KC285141,,Rus-Nsc11-N2004
KC285140,,Rus-Nsc11-N1991
KC285139,,Rus-Nsc11-N1964
KC285138,,Rus-Nsc11-N1960
KC285137,,Rus-Nsc11-N1918
KC285136,,Rus-Nsc11-N1857
KC285135,,Rus-Nsc11-N1803
KC285134,,Rus-Nsc11-N1802
KC285133,,Rus-Nsc11-N1780
KC285132,,Rus-Nsc11-N1741
KC285131,,Rus-Nsc11-N1731
KC285130,,Rus-Nsc11-N1580
KC285129,,Rus-Nsc11-N1567
KC285128,,Rus-Nsc11-N1478
KC285127,,Rus-Nsc10-N1437
KC285126,,Rus-Nsc10-N1431
KC285125,,Rus-Nsc10-N1409
KC285123,,Rus-Nsc10-N1385
KC285122,,Rus-Nsc10-N1381
KC285121,,Rus-Nsc10-N1380
KC285120,,Rus-Nsc10-N1379
KC285119,,Rus-Nsc10-N1362
KC285118,,Rus-Nsc10-N1339
KC285117,,Rus-Nsc10-N1327
KC285116,,Rus-Nsc10-N1320
KC285115,,Rus-Nsc10-N1300
KC285114,,Rus-Nsc10-N1226
KC285112,,Rus-Nsc10-N1177
KC285111,,Rus-Nsc10-N1175
KC285110,,Rus-Nsc10-N1083
MN733910,,
EU363892,,
EU363891,,
EU363890,,
EU363889,,
EU363888,,
EU363887,,
EU363886,,
EU333903,,805
EU333902,,567
EU333901,,317
EU333900,,173
EU327562,,HAstV/Ghana1403/06/DE
EU327561,,HAstV/Ghana1258/06/DE
EU327560,,HAstV/Ghana1486/06/DE
EU327559,,HAstV/Ghana1369/06/DE
EU161566,,
AF292073,,
AF292080,,
MN510442,,G19054
MN510441,,G19053
MN510440,,G19052
MN510439,,G19051
MN036279,,H1_Bulk_Litter_4_scaffold_3393
MN036159,,H2_Bulk_Litter_12_scaffold_3666
MN036131,,H4_Rhizo_Litter_20_scaffold_3123
MN035893,,H3_Bulk_Litter_17_scaffold_17037
MN035838,,H4_Bulk_47_scaffold_62
MN035814,,H4_Bulk_48_scaffold_29788
MN035758,,H1_Rhizo_26_FD_scaffold_114
MN035574,,H2_Rhizo_Litter_49_scaffold_25815
MN035429,,H4_Bulk_47_scaffold_19966
MN035369,,H3_Bulk_42_scaffold_5271
MN034849,,H4_Bulk_Litter_24_scaffold_8515
MN034752,,H1_Rhizo_Litter_1_scaffold_1158
MN034438,,H1_Rhizo_26_FD_scaffold_10293
MN034422,,H4_Bulk_47_scaffold_5859
MN034411,,H2_Rhizo_Litter_8_scaffold_129
MN034197,,H2_Bulk_Litter_12_scaffold_16222
MN034082,,H2_Bulk_35_scaffold_28
MN033929,,H4_Rhizo_Litter_20_scaffold_133
