Host;Isolate;class
canine;"A12; AstroviridaeDogfe316C1full; AstroviridaeDogfe316C2full; AstroviridaeDogfe319C1full; AstroviridaeDogfe325C1full; AstroviridaeDogfe326C1full; AstroviridaeDogfe326C3full; AstroviridaeDogfe331C1full; AstroviridaeDogfe337C1full; AstroviridaeDogfe338C1full; AstroviridaeDogfe346C1full; AstroviridaeDogfe351C1full; AstroviridaeDogfe352C1full; AstroviridaeDogfe352C7full; AstroviridaeDogfe360C10full; AstroviridaeDogfe360C3full; AstroviridaeDogfe365C2full; AstroviridaeDogfe376C1full; AstroviridaeDogfe380C1full; AstroviridaeDogfe437C1full; CAstV_IND_NIVAN198037_2019; CAstV_IND_NIVAN198081_2019; CAstV_IND_NIVAN198098_2019; MN1-USA/2016; MN2-USA/2017; MN3-USA/2017; MN4-USA/2017; MN5-USA/2017; PVNRTVU/2020/01; PVNRTVU/2020/02; PVNRTVU/2020/03; PVNRTVU/2020/04; PVNRTVU2020; WI-USA/2017";Mammalia
chicken (broiler);"Contig-1; Contig-10; Contig-11; Contig-12; Contig-13; Contig-2; Contig-3; Contig-5; Contig-6; Contig-7; Contig-8; Contig-9";Aves
commercial broiler;"ANV/1043/2014/HR(India)/Chicken; ANV/1059/2011/HR(India)/Chicken; ANV/1065/2014/HR(India)/Chicken; ANV/1102/2012/HR(India)/Chicken; ANV/1105/2012/HR(India)/Chicken; ANV/1301/2015/HR(India)/Chicken; ANV/22392/2014/HR(India)/Chicken; ANV/22766/2014/HR(India)/Chicken; ANV/22999/2014/HR(India)/Chicken; CAstV/1089/2014/HR(India)/Chicken; CAstV/1105/2014/HR(India)/Chicken; CAstV/1125/2014/HR(India)/Chicken; CAstV/1194/2012/HR(India)/Chicken; CAstV/22159/2014/HR(India)/Chicken; CAstV/22330/2014/HR(India)/Chicken; CAstV/22374/2014/HR(India)/Chicken; CAstV/22397/2014/HR(India)/Chicken; CAstV/23324/2014/HR(India)/Chicken; CAstV/23724/2014/HR(India)/Chicken; CAstV/23893/2014/HR(India)/Chicken; CAstV/28828/2014/HR(India)/Chicken";Aves
domestic cat;;Mammalia
domestic cat with diarrhea;"MAV2/16JZ1202; MAV2/16LY0702; MAV2/16SY1102; MAV2/17CC0308; MAV2/17DD0902; MAV2/17HRB0511; MAV2/17JL0312; MAV2/17JL0318; MAV2/17SP0801; MAV2/17SY0306; MAV2/18BC0502; MAV2/18CC0502; MAV2/18HRB0701; MAV2/18JL0310; MAV2/18JZ0701; MAV2/18QQHE0707; MAV2/18SP0501; MAV2/18SY0803";Mammalia
duck;VSVRI.CLEVB.22;Aves
environment;"G20_105; G20_106; G20_107; G20_108; G20_109; G22-001; G22-002; G22-003; G22-004; G22-005; G22-006; G22-007; G22-008; G22-009; G22-010; G22-011; G22-012; G22-013; G22-014";?
feline;"FAstV-TR-Erz4; FAstV-TR-Erz5; FAstV-TR-Erz6; FAstV-TR-Erz9; FeAstV21SH050-20; FeAstV21SH0505-11; FeAstV21SH0505-15; FeAstV21SH0505-2; FeAstV21SH0505-31; FeAstV21SH0505-6; FeAstV22SH0725-12; FeAstV22SH0725-16";Mammalia
feral pigeon;D11-440/HK;Aves
fish;"GX2017; JX2020";?
goat;"Ferri_01_N_ORF2_ASTV_GOAT_MILK_O; Ferri_02_N_ORF2_ASTV_GOAT_MILK_BG1; Ferri_03_N_ORF2_ASTV_GOAT_MILK_BG2; Ferri_04_N_ORF2_ASTV_GOAT_MILK_BG3; Ferri_05_N_ORF2_GOAT_MILK_BG4; Ferri_07B_N_ASTV_GOAT_MILK_PR2; Ferri_07_N_ORF2_ASTV_GOAT_MILK_PR1; Ferri_08_N_ORF2_ASTV_GOAT_MILK_PR3";Mammalia
goose embryo;;Aves
gosling;JSHA;Aves
goslings;ZJC14;Aves
grey squirrel;UK 2010;Mammalia
laboratory mouse;;Mammalia
lamb;3683;Mammalia
landaise;ZJCX;Aves
laying hens;GAstV-SDHZ;Aves
marmot;"XJ1/CH/2016; XJ2/CHN/2016";Mammalia
murine;;Mammalia
ovine;;Mammalia
pigeon;"Shanghai; pigeon/FSU1; pigeon/FSU2; pigeon/FSU3";Aves
piglet;PAstV/SH/2022/CM1;Mammalia
