host,class
Duttaphrynus melanostictus,Amphibia
Pterygotrigla hemisticta,Actinopteri
Lepidotrigla sp.,Actinopteri
Cynoglossus sp.,Actinopteri
Dasyatis akajei,Chondrichthyes
Cephalopholis spiloparaea,Actinopteri
Banjos banjos,Actinopteri
domestic cat,Mammalia
Myotis petax,Mammalia
Homo sapiens; sex: M; age: 8 months,
mink,Mammalia
Budorcas taxicolor tibetana,Mammalia
Bat,
Hortobagy goose,Aves
Marmota himalayana,Mammalia
Sus scrofa (swine),Mammalia
turkey,Aves
Cerdocyon thous,Mammalia
Nycteris thebaica,Mammalia
Miniopterus mossambicus,Mammalia
Eptesicus serotinus,Mammalia
Myotis capaccinii,Mammalia
Barbastella barbastellus,Mammalia
Myotis myotis/blythii,Mammalia
Myotis emarginatus,Mammalia
commercial broiler chicken,Aves
poultry,
Lande geese,Aves
Gallus gallus domesticus,Aves
Rhinolophus rouxii,Mammalia
Rhinolophus lepidus,Mammalia
Beijing duck,Aves
Anous tenuirostris,Aves
Tadarida brasiliensis,Mammalia
Rattus andamanensis,Mammalia
Homo sapiens; sex: M; age: 18 Y,
Homo sapiens; sex: M; age: 25 Y,
Homo sapiens; sex: M; age: 4 Y,
Homo sapiens; sex: M; age: 23 Y,
Homo sapiens; sex: F; age: 30 Y,
Homo sapiens; sex: F; age: 18 Y,
Gorilla gorilla gorilla,Mammalia
ovine,
Miniopterus griveaudi; FMNH 228875,
Triaenops menamena; UADBA SMG18885,
Triaenops menamena; UADBA SMG18884,
Triaenops menamena; UADBA SMG18883,
Triaenops menamena; FMNH 228864,
Triaenops menamena; FMNH 228863,
Triaenops menamena; FMNH 228860,
Rousettus madagascariensis; UADBA SMG18921,
Rousettus madagascariensis; FMNH 228826,
Paratriaenops furculus; UADBA SMG18902,
Paratriaenops furculus; UADBA SMG18894,
Paratriaenops furculus; UADBA SMG18892,
Paratriaenops furculus; UADBA SMG18890,
Paratriaenops furculus; UADBA SMG18888,
Paratriaenops furculus; UADBA SMG18886,
Paratriaenops furculus; FMNH 228851,
Paratriaenops furculus; FMNH 228848,
Paratriaenops furculus; FMNH 228844,
Myotis goudoti; UADBA SMG18920,
Myotis goudoti; FMNH 228866,
Myotis goudoti; FMNH 229045,
Miniopterus griveaudi; UADBA SMG18905,
Miniopterus griveaudi; UADBA SMG18874,
Miniopterus griveaudi; UADBA SMG18853,
Miniopterus griveaudi; FMNH 228882,
Miniopterus griveaudi; FMNH 228881,
Miniopterus griveaudi; FMNH 228878,
Miniopterus griveaudi; FMNH 228876,
Miniopterus griveaudi; FMNH 228874,
Miniopterus griveaudi; FMNH 228872,
Miniopterus griveaudi; FMNH 228870,
Canis lupus familaris,
lamb,
Scotophilus sp.,Mammalia
Macaca leonina,Mammalia
Rousettus sp.,Mammalia
Megaderma lyra,Mammalia
Rattus sp.,Mammalia
Rattus argentiventer,Mammalia
Hylopetes sp.,
Leopoldamys sabanus,Mammalia
Anas platyrhynchos,Aves
Hipposideros gigas,Mammalia
Myotis pequinius,Mammalia
Eptesicus serotinus serotinus,Mammalia
Eptesicus serotinus andersoni,Mammalia
Mytilus galloprovincialis,Bivalvia
Himalayan marmot,Mammalia
Pekin duck,Aves
turkey; young poult presenting PEMS,
Acinonyx jubatus,Mammalia
Guinea fowl,Aves
Sus scrofa (domestic pig),
Myotis myotis,Mammalia
Balaenoptera acutorostrata,Mammalia
Orcinus orca,Mammalia
Tursiops truncatus,Mammalia
Anas platyrhynchos f. domestica,Aves
Capreolus capreolus,Mammalia
commercial broiler,
Myotis longipes,Mammalia
Swine,Mammalia
Semnopithecus entellus,Mammalia
Hylobatidae,Mammalia
Papio anubis,Mammalia
Chlorocebus pygerythrus,Mammalia
Papio hamadryas,Mammalia
Trachypithecus pileatus,Mammalia
Hoolock hoolock,Mammalia
Hypothymis azurea,Aves
Megaerops kusnotoi,Mammalia
Myotis nattereri,Mammalia
Myotis bechsteinii,Mammalia
Pipistrellus nathusii;Pipistrellus pygmaeus,
Rhinolophus hipposideros,Mammalia
Myotis mystacinus,Mammalia
Landes goose,Aves
Ma duck,Aves
Pekin duckling,
shorebird,
Homo sapiens 5 month old female,
Homo sapiens 1 year old male,
Homo sapiens 62 year old female,
Homo sapiens 1 year 6 month old female,
Homo sapiens 2 year old male,
Homo sapiens 6 year old male,
Homo sapiens 1 year 6 month old male,
Homo sapiens 9 month old male,
Homo sapiens 10 month female,
Homo sapiens 10 year old female,
