host,cellular root,domain,clade,kingdom,phylum,subphylum,superclass,class,superorder,order,suborder,family,genus,species,subspecies,infraorder,parvorder,superfamily,subfamily,infraclass,species group,subclass,cohort,tribe,subgenus,subtribe,subcohort
Muscovy duck,cellular organisms,Eukaryota,Coelurosauria,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,Galloanserae,Anseriformes,,Anatidae,Cairina,Cairina moschata,,,,,Anatinae,Neognathae,,,,,,,
Phocarctos hookeri (New Zealand sea lion),cellular organisms,Eukaryota,Pinnipedia,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Carnivora,Caniformia,Otariidae,Phocarctos,Phocarctos hookeri,,,,,,,,,,,,,
rook,cellular organisms,Eukaryota,Australaves,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,,Passeriformes,,Corvidae,Corvus,Corvus frugilegus,,,,Corvoidea,,Neognathae,,,,,,,
Eurasian tree sparrow,cellular organisms,Eukaryota,Australaves,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,,Passeriformes,,Passeridae,Passer,Passer montanus,,,,Passeroidea,,Neognathae,,,,,,,
hooded crow,cellular organisms,Eukaryota,Australaves,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,,Passeriformes,,Corvidae,Corvus,Corvus cornix,,,,Corvoidea,,Neognathae,,,,,,,
Scotophilus dinganii; sex: male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniopterus fraterculus; sex: male,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattus tanezumi,cellular organisms,Eukaryota,Muroidea,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Rodentia,Myomorpha,Muridae,Rattus,Rattus tanezumi,,,,,Murinae,,,,,,,,
Neogale vison,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Carnivora,Caniformia,Mustelidae,Neogale,Neogale vison,,,,Musteloidea,Mustelinae,,,,,,,,
bovine,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bos,Bos taurus,,Pecora,,,Bovinae,,,,,,,,
Rattus rattus,cellular organisms,Eukaryota,Muroidea,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Rodentia,Myomorpha,Muridae,Rattus,Rattus rattus,,,,,Murinae,,,,,,,,
Praomys rostratus,cellular organisms,Eukaryota,Muroidea,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Rodentia,Myomorpha,Muridae,Praomys,Praomys rostratus,,,,,Murinae,,,,,,,,
Mus setulosus,cellular organisms,Eukaryota,Muroidea,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Rodentia,Myomorpha,Muridae,Mus,Mus setulosus,,,,,Murinae,,,,,,Nannomys,,
Miniopterus inflatus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Miniopteridae,Miniopterus,Miniopterus inflatus,,,,,,,,,,,,,
Mastomys erythroleucus,cellular organisms,Eukaryota,Muroidea,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Rodentia,Myomorpha,Muridae,Mastomys,Mastomys erythroleucus,,,,,Murinae,,,,,,,,
Lophuromys chrysopus,cellular organisms,Eukaryota,Muroidea,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Rodentia,Myomorpha,Muridae,Lophuromys,Lophuromys chrysopus,,,,,Deomyinae,,,,,,,,
Felis catus (domestic cat),cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Carnivora,Feliformia,Felidae,Felis,Felis catus,,,,,Felinae,,,,,,,,
