ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,id_prefix,coords,strand
MN036159_12,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,MN036159,2193-1933,-
MN036159_12,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,MN036159,2193-1933,-
PP512783_37,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783,1801-1244,-
PP512783_37,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783,1801-1244,-
PP512783_37,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783,1801-1244,-
PP512783_37,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783,1801-1244,-
MN733910_4,-,consensus disorder prediction,MobiDBLite,-,-,MN733910,410-108,-
OR800315_3,-,consensus disorder prediction,MobiDBLite,-,-,OR800315,198-590,+
OR800315_3,-,consensus disorder prediction,MobiDBLite,-,-,OR800315,198-590,+
MN036159_9,-,C-terminal region of a signal peptide.,Phobius,-,-,MN036159,1710-2102,+
MN036159_9,-,Hydrophobic region of a signal peptide.,Phobius,-,-,MN036159,1710-2102,+
MN036159_9,-,SignalP-noTM,SignalP_EUK,-,-,MN036159,1710-2102,+
MN036159_9,-,SignalP-TM,SignalP_GRAM_POSITIVE,-,-,MN036159,1710-2102,+
MN036159_9,-,Signal peptide region,Phobius,-,-,MN036159,1710-2102,+
MN036159_9,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159,1710-2102,+
MN036159_9,-,N-terminal region of a signal peptide.,Phobius,-,-,MN036159,1710-2102,+
MN035838_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035838,3631-3834,+
MN035838_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035838,3631-3834,+
MN035838_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838,3631-3834,+
MN035838_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838,3631-3834,+
MN035838_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838,3631-3834,+
MN035838_15,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838,3631-3834,+
MN035838_15,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838,3631-3834,+
MN035574_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035574,824-648,-
MN035574_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035574,824-648,-
MN035574_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035574,824-648,-
MN035574_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035574,824-648,-
MN035429_4,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN035429,2-1213,+
MN035429_4,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN035429,2-1213,+
MN035429_4,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,MN035429,2-1213,+
MN034422_10,-,consensus disorder prediction,MobiDBLite,-,-,MN034422,1519-1773,+
MN034422_10,-,consensus disorder prediction,MobiDBLite,-,-,MN034422,1519-1773,+
MN035574_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035574,644-492,-
MN035574_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035574,644-492,-
MN035574_14,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035574,644-492,-
MN035574_14,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035574,644-492,-
MN036159_18,-,consensus disorder prediction,MobiDBLite,-,-,MN036159,315-1,-
MN036159_18,-,consensus disorder prediction,MobiDBLite,-,-,MN036159,315-1,-
MN036159_18,-,N-terminal region of a signal peptide.,Phobius,-,-,MN036159,315-1,-
MN036159_18,-,C-terminal region of a signal peptide.,Phobius,-,-,MN036159,315-1,-
MN036159_18,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN036159,315-1,-
MN036159_18,-,Hydrophobic region of a signal peptide.,Phobius,-,-,MN036159,315-1,-
MN036159_18,-,Signal peptide region,Phobius,-,-,MN036159,315-1,-
MN035838_32,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838,5684-45,-
MN035838_32,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,MN035838,5684-45,-
MN035838_32,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838,5684-45,-
