,Host
PQ899173,sheep
PQ899172,sheep
PQ899171,sheep
PQ860806,bovine
PQ541182,Rattus rattus
PQ541179,Praomys rostratus
PQ541178,Mus setulosus
PQ541169,Miniopterus inflatus
PQ541164,Mastomys erythroleucus
PQ541155,Lophuromys chrysopus
PQ788589,Felis catus (domestic cat)
PQ150499,Rhipicephalus sanguineus
PQ805455,goat
PQ805454,goat
PQ805453,goat
PQ883185,goose
PQ883184,goose
PQ883183,goose
PQ883182,goose
PQ789807,canine
PQ998994,Meleagris gallopavo domesticus
PQ998993,Meleagris gallopavo domesticus
PQ998992,Meleagris gallopavo domesticus
PQ777147,Canis lupus familiaris
PQ777146,Canis lupus familiaris
PQ777145,Canis lupus familiaris
PQ777144,Canis lupus familiaris
PQ777143,Canis lupus familiaris
PQ777142,Canis lupus familiaris
PQ777141,Canis lupus familiaris
PQ777140,Canis lupus familiaris
PQ777139,Canis lupus familiaris
PQ777138,Canis lupus familiaris
PQ777137,Canis lupus familiaris
PQ777136,Canis lupus familiaris
PQ777135,Canis lupus familiaris
PQ777134,Canis lupus familiaris
PQ777133,Canis lupus familiaris
PQ777132,Canis lupus familiaris
PQ777131,Canis lupus familiaris
PQ777130,Canis lupus familiaris
PQ777129,Canis lupus familiaris
PQ777128,Canis lupus familiaris
PQ777127,Canis lupus familiaris
PQ777126,Canis lupus familiaris
PQ777125,Canis lupus familiaris
PQ777124,Canis lupus familiaris
PQ678099,Niviventer confucianus
PQ678098,Apodemus chevrieri
PQ678019,Crocidura fuliginosa
PQ678018,Anourosorex squamipes
PQ678017,Crocidura fuliginosa
PQ678016,Eothenomys miletus
PQ678015,Rattus tanezumi
PQ678014,Rattus nitidus
PQ678013,Niviventer huang
PQ678012,Rattus tanezumi
PQ678011,Rattus norvegicus
PQ678010,Leopoldamys neilli
PQ678009,Rattus tanezumi
PQ678008,Rattus norvegicus
PQ678007,Rattus tanezumi
PQ740944,goose
PP786658,goose
PQ792554,Neodon fuscus
PQ792210,Araneus ventricosus
PQ792140,Helobdella robusta
PQ791985,Neodon fuscus
PD223317,NA
PD223316,NA
PD222915,NA
PD222914,NA
PQ622678,Gekko chinensis
PQ622677,Hemidactylus frenatus
PQ893528,Eolophus roseicapilla
PQ893527,Alisterus scapularis
PQ628032,goose
PQ628031,goose
PQ862915,goose
PQ862914,goose
PQ862913,goose
PQ862912,goose
PQ862911,goose
PL092599,NA
PL092591,NA
PL092587,NA
PL092412,NA
PL092404,NA
PL092400,NA
PL092225,NA
PL092217,NA
PL092213,NA
PL190248,NA
PQ615938,Acalles camelus
OR752625,Rattus norvegicus
OR752624,Rattus norvegicus
OR752623,Rattus norvegicus
OR752622,Rattus rattus
OR752621,Rattus rattus
OR752620,Rattus rattus
OR752619,Mus musculus
OR752618,Mus musculus
OR752617,Rattus norvegicus
OR752616,Rattus norvegicus
OR752615,Rattus norvegicus
OR752614,Rattus rattus
OR752613,Rattus rattus
OR752612,Rattus rattus
OR752611,Rattus rattus
OR752610,Rattus rattus
OR752609,Rattus rattus
OR752608,Rattus rattus
OR752607,Mus musculus
OR752606,Rattus norvegicus
OR752605,Rattus norvegicus
OR752604,Rattus norvegicus
OR752603,Rattus rattus
OR752602,Rattus norvegicus
OR752601,Rattus rattus
OR752600,Rattus norvegicus
OR752599,Rattus norvegicus
OR752598,Rattus rattus
OR752597,Rattus norvegicus
OR752596,Rattus norvegicus
OR752595,Suncus murinus
OR752594,Rattus norvegicus
OR752593,Rattus norvegicus
OR752592,Rattus norvegicus
OR752591,Rattus norvegicus
OR752590,Rattus norvegicus
OR752589,Rattus norvegicus
OR752588,Rattus norvegicus
OR752587,Rattus norvegicus
OR752586,Rattus rattus
OR752585,Mus musculus
OR752584,Mus musculus
OR752583,Rattus rattus
OR752582,Rattus rattus
OR752581,Rattus norvegicus
OR752580,Rattus rattus
OR752579,Rattus rattus
OR752578,Rattus rattus
OR752577,Rattus norvegicus
OR752576,Rattus rattus
OR752575,Rattus norvegicus
OR752574,Rattus rattus
OR752573,Rattus rattus
OR752572,Rattus norvegicus
OR752571,Rattus norvegicus
OR752570,Rattus rattus
OR752569,Rattus rattus
OR752568,Rattus norvegicus
OR752567,Rattus norvegicus
OR752566,Rattus norvegicus
OR752565,Rattus rattus
OR752564,Rattus norvegicus
OR752563,Rattus rattus
OR752562,Rattus rattus
OR752561,Rattus rattus
OR752560,Rattus norvegicus
OR752559,Rattus norvegicus
OR752558,Rattus norvegicus
OR752557,Rattus norvegicus
OR752556,Columba livia
OR752555,Columba livia
OR752554,Columba livia
OR752553,Columba livia
OR752552,Columba livia
OR752551,Columba livia
OR752550,Columba livia
OR752549,Columba livia
OR752548,Columba livia
OR752547,Columba livia
OR752546,Columba livia
OR752545,Columba livia
OR752544,Columba livia
OR752543,Columba livia
OR752542,Columba livia
OR752541,Mormopterus francoismoutoui
OR752540,Mormopterus francoismoutoui
OR752539,Mormopterus francoismoutoui
OR752538,Mormopterus francoismoutoui
OR752537,Mormopterus francoismoutoui
OR752536,Mormopterus francoismoutoui
OR752535,Mormopterus francoismoutoui
OR752534,Mormopterus francoismoutoui
OR752533,Mormopterus francoismoutoui
OR752532,Mormopterus francoismoutoui
OR752531,Mormopterus francoismoutoui
OR752530,Mormopterus francoismoutoui
OR752529,Mormopterus francoismoutoui
OR752528,Mormopterus francoismoutoui
OR752527,Mormopterus francoismoutoui
OR752526,Mormopterus francoismoutoui
OR752525,Mormopterus francoismoutoui
OR752524,Mormopterus francoismoutoui
OR752523,Mormopterus francoismoutoui
OR752522,Mormopterus francoismoutoui
OR752521,Mormopterus francoismoutoui
OR752520,Mormopterus francoismoutoui
OR752519,Mormopterus francoismoutoui
OR752518,Mormopterus francoismoutoui
OR752517,Mormopterus francoismoutoui
OR752516,Mormopterus francoismoutoui
OR752515,Mormopterus francoismoutoui
OR752514,Mormopterus francoismoutoui
OR752513,Mormopterus francoismoutoui
OR752512,Mormopterus francoismoutoui
OR752511,Mormopterus francoismoutoui
OR752510,Mormopterus francoismoutoui
OR752509,Mormopterus francoismoutoui
OR752508,Mormopterus francoismoutoui
OR752507,Mormopterus francoismoutoui
OR752506,Mormopterus francoismoutoui
OR752505,Mormopterus francoismoutoui
OR752504,Mormopterus francoismoutoui
OR752503,Mormopterus francoismoutoui
OR752502,Mormopterus francoismoutoui
OR752501,Mormopterus francoismoutoui
OR752500,Mormopterus francoismoutoui
OR752499,Mormopterus francoismoutoui
OR752498,Mormopterus francoismoutoui
OR752497,Mormopterus francoismoutoui
OR752496,Mormopterus francoismoutoui
OR752495,Mormopterus francoismoutoui
OR752494,Mormopterus francoismoutoui
OR752493,Mormopterus francoismoutoui
OR752492,Mormopterus francoismoutoui
OR752491,Mormopterus francoismoutoui
OR752490,Mormopterus francoismoutoui
OR752489,Mormopterus francoismoutoui
OR752488,Mormopterus francoismoutoui
OR752487,Mormopterus francoismoutoui
OR752486,Mormopterus francoismoutoui
OR752485,Mormopterus francoismoutoui
PQ586402,Gallus gallus
PQ586401,Gallus gallus
PQ586400,Gallus gallus
PQ586399,Gallus gallus
PQ586398,Gallus gallus
PQ586397,Gallus gallus
PQ586396,Gallus gallus
PQ586395,Gallus gallus
PQ586394,Gallus gallus
PQ586393,Gallus gallus
PQ586392,Gallus gallus
PQ586391,Gallus gallus
PQ586390,Gallus gallus
PQ586389,Gallus gallus
PQ586388,Gallus gallus
PQ586387,Gallus gallus
PQ601068,dairy cow
PQ601067,dairy cow
PQ510867,Homo sapiens
PQ510866,Homo sapiens
PQ510865,Homo sapiens
PQ510864,Homo sapiens
PQ510863,Homo sapiens
PQ510862,Homo sapiens
PQ510861,Homo sapiens
PQ510860,Homo sapiens
PQ510859,Homo sapiens
PQ510858,Homo sapiens
PQ510857,Homo sapiens
PQ510856,Homo sapiens
PQ510855,Homo sapiens
PQ510854,Homo sapiens
PQ510853,Homo sapiens
PQ539468,cattle
PQ539467,cattle
PQ552759,duck
PQ573797,sheep
PQ573796,sheep
OQ835730,Homo sapiens
OQ835729,Homo sapiens
PQ530056,NA
PQ541070,Homo sapiens
PQ541069,Homo sapiens
PQ541068,Homo sapiens
PQ496878,Homo sapiens
PQ496877,Homo sapiens
PQ496876,Homo sapiens
PQ496875,Homo sapiens
PQ496874,Homo sapiens
PQ496873,Homo sapiens
PQ496872,Homo sapiens
PQ496871,Homo sapiens
PQ496870,Homo sapiens
PQ496869,Homo sapiens
PQ496868,Homo sapiens
PQ496867,Homo sapiens
PQ496866,Homo sapiens
PQ496865,Homo sapiens
PQ496864,Homo sapiens
PQ496863,Homo sapiens
PQ496862,Homo sapiens
PQ496861,Homo sapiens
PQ496860,Homo sapiens
PQ496859,Homo sapiens
PQ496858,Homo sapiens
PQ476025,Homo sapiens
PQ496891,Homo sapiens
PQ496890,Homo sapiens
LC849253,Nyctereutes procyonoides(racoon dog)
LC849230,Nyctereutes procyonoides(racoon dog)
LC849229,Nyctereutes procyonoides(racoon dog)
LC849228,Nyctereutes procyonoides(racoon dog)
PQ525428,Homo sapiens
PP741992,chicken
PP741991,chicken
PP741990,chicken
PP741996,chicken
PP741995,chicken
PP741994,chicken
PP741993,chicken
PQ435248,Felis catus
PQ435247,Felis catus
PQ435246,Felis catus
PQ435245,Felis catus
PQ435244,Felis catus
PQ435243,Felis catus
PQ435242,Felis catus
PQ435241,Felis catus
PQ435240,Felis catus
PQ435239,Felis catus
PQ435238,Felis catus
PQ435237,Felis catus
PQ161557,Ortmanniana pectorosa
PQ435198,goose
PQ423920,Canis lupus familiaris
PQ423919,Canis lupus familiaris
PQ423918,Canis lupus familiaris
PQ423917,Canis lupus familiaris
PQ423916,Canis lupus familiaris
PQ423915,Canis lupus familiaris
PQ423914,Canis lupus familiaris
PQ423913,Canis lupus familiaris
PQ423912,Canis lupus familiaris
PQ423911,Canis lupus familiaris
PQ423910,Canis lupus familiaris
LC810976,Myotis macrodactylus
LC810975,Rhinolophus ferrumequinum
LC810974,Myotis macrodactylus
LC810973,Myotis macrodactylus
LC810972,Myotis macrodactylus
LC810971,Myotis macrodactylus
LC810970,Myotis macrodactylus
LC810969,Rhinolophus ferrumequinum
LC810967,Myotis macrodactylus
LC810966,Rhinolophus ferrumequinum
LC810965,Rhinolophus ferrumequinum
LC810964,Rhinolophus ferrumequinum
LC810963,Rhinolophus ferrumequinum
LC810962,Rhinolophus ferrumequinum
LC810961,Rhinolophus ferrumequinum
LC810960,Rhinolophus ferrumequinum
LC810959,Miniopterus fuliginosus
LC810958,Miniopterus fuliginosus
LC810957,Miniopterus fuliginosus
LC810956,Rhinolophus ferrumequinum
LC810955,Rhinolophus ferrumequinum
LC810954,Miniopterus fuliginosus
LC810953,Miniopterus fuliginosus
LC810952,Miniopterus fuliginosus
LC810951,Miniopterus fuliginosus
LC810950,Miniopterus fuliginosus
LC810949,Miniopterus fuliginosus
LC810948,Miniopterus fuliginosus
LC810947,Miniopterus fuliginosus
LC810946,Miniopterus fuliginosus
LC810968,Myotis macrodactylus
PQ220260,Anser indicus (Bar-headed goose)
PQ220259,Anser indicus (Bar-headed goose)
PQ220258,Anser indicus (Bar-headed goose)
PQ220257,Anser indicus (Bar-headed goose)
PQ308726,goose
LC845131,Canis lupus familiaris
PQ287383,goose
PQ287382,duck
PQ287381,duck
PQ287380,duck
PQ287379,duck
PQ287378,duck
OR412751,duck; breed: muscovy
PQ055542,Procambarus clarkii
PQ055541,Procambarus clarkii
PQ055540,Procambarus clarkii
PQ055539,Procambarus clarkii
PQ055538,Procambarus clarkii
PQ055537,Procambarus clarkii
PQ055536,Procambarus clarkii
PQ055535,Procambarus clarkii
PQ055534,Procambarus clarkii
PQ055533,Procambarus clarkii
PQ055532,Procambarus clarkii
PQ055531,Procambarus clarkii
PQ055530,Procambarus clarkii
PQ055529,Procambarus clarkii
PQ055528,Procambarus clarkii
PQ055527,Procambarus clarkii
PQ055526,Procambarus clarkii
PQ055525,Procambarus clarkii
PQ055524,Procambarus clarkii
PQ055523,Procambarus clarkii
PQ055522,Procambarus clarkii
PQ055521,Procambarus clarkii
PQ335170,NA
PQ231052,bovine
PP977475,Urva auropunctata
PP977474,Urva auropunctata
PP977473,Urva auropunctata
PP977472,Urva auropunctata
PP977471,Urva auropunctata
PP977470,Urva auropunctata
PP977469,Urva auropunctata
PP977468,Urva auropunctata
PP977467,Urva auropunctata
PP977466,Urva auropunctata
PP977465,Urva auropunctata
PP977464,Urva auropunctata
PP977463,Urva auropunctata
PP977462,Urva auropunctata
OR367608,Bos mutus
OR367604,Bos mutus
OR367602,Bos mutus
OR367599,Bos mutus
OR367595,Bos mutus
OR367593,Bos mutus
OR367589,Bos mutus
OR367588,Bos mutus
OR367587,Bos mutus
OR367584,Bos mutus
OR367582,Bos mutus
OR367580,Bos mutus
OR367576,Bos mutus
OR367571,Bos mutus
OR367611,Bos mutus
OR367610,Bos mutus
OR367609,Bos mutus
OR367607,Bos mutus
OR367606,Bos mutus
OR367603,Bos mutus
OR367601,Bos mutus
OR367598,Bos mutus
OR367594,Bos mutus
OR367570,Bos mutus
MW810341,calf
MW810339,calf
MW810338,calf
MW810337,calf
MW810334,calf
MW810332,calf
PP382210,Jiangnan White Goose
PP382209,Jiangnan White Goose
PQ182548,Neogale vison
PP623814,Mareca falcata
OR827024,goose
PP272729,Crocidura tanakae
PP272615,Crocidura shantungensis
PP272491,Crocidura lasiura
PP272490,Crocidura lasiura
PP272489,Crocidura lasiura
PP272488,Crocidura lasiura
PP272487,Crocidura lasiura
PP272486,Crocidura lasiura
PQ110289,Oryctes sp.
PQ062282,goat
PQ062281,goat
PQ062280,goat
PQ062279,goat
PQ062278,goat
LC778163,Felis catus
LC778161,Felis catus
PQ106802,pig
PP740881,Rattus norvegicus
PP740880,Rattus norvegicus
PP478076,carrier pigeon
PP478075,carrier pigeon
PQ038334,Rousettus madagascariensis
PQ038333,Eidolon dupreanum
PQ038332,Eidolon dupreanum
OM966723,Sus scrofa domesticus
OM966722,Sus scrofa domesticus
OM105033,Sus scrofa domesticus
OM104033,Sus scrofa domesticus
OM104032,Sus scrofa domesticus
OM104031,Sus scrofa domesticus
OM104030,Sus scrofa domesticus
OM104029,Sus scrofa domesticus
OM105048,Sus scrofa domesticus
OM105047,Sus scrofa domesticus
OM105035,Sus scrofa domesticus
OM105034,Sus scrofa domesticus
OM105032,Sus scrofa domesticus
OM105003,Sus scrofa domesticus
PP171482,chicken
PP171481,chicken
PP171480,chicken
PP171479,chicken
PP171478,chicken
PP171477,chicken
PP171476,chicken
PP171475,chicken
PP171474,chicken
PP171473,chicken
PQ037214,goose
PQ045729,Sus scrofa
PQ045728,Sus scrofa
PQ045727,Sus scrofa
PQ045726,Sus scrofa
PQ045725,Sus scrofa
PQ045724,Sus scrofa
PQ045723,Sus scrofa
PQ045722,Sus scrofa
PQ045721,Sus scrofa
PQ045720,Sus scrofa
PQ045719,Sus scrofa
PQ045718,Sus scrofa
PQ045717,Sus scrofa
PQ045716,Sus scrofa
PQ045715,Sus scrofa
PQ045714,Sus scrofa
PQ045713,Sus scrofa
PQ045712,Sus scrofa
PQ045711,Sus scrofa
PP968017,porcine
MW588064,NA
MW588063,NA
MW588062,NA
PP999617,Sus scrofa
PP999616,Sus scrofa
OR427988,Homo sapiens
OR427987,Homo sapiens
OR427986,Homo sapiens
OR427985,Homo sapiens
OR427984,Homo sapiens
OR427983,Homo sapiens
OR427982,Homo sapiens
OR427981,Homo sapiens
OR427980,Homo sapiens
OR427979,Homo sapiens
OR427978,Homo sapiens
PP976052,Nyctalus noctula
PP966939,goose
PP926321,ticks
PP916236,Homo sapiens
PP901928,Homo sapiens
PP901927,Homo sapiens
PP901926,Homo sapiens
PP901925,Homo sapiens
OR544230,sheep
PP889839,Canis lupus familiaris
PP889838,Canis lupus familiaris
PP889837,Canis lupus familiaris
PP889836,Canis lupus familiaris
PP889835,Canis lupus familiaris
PP889834,Canis lupus familiaris
PP889833,Canis lupus familiaris
PP889832,Canis lupus familiaris
PP889831,Canis lupus familiaris
PP889830,Canis lupus familiaris
PP711211,Heteronotia binoei
PP711204,Heteronotia planiceps
PP711198,Heteronotia planiceps
PP711188,Heteronotia planiceps
OQ615742,goose
OQ615741,goose
OQ615740,goose
PP590731,Pogonophryne immaculata
PP590744,Muraenolepis sp.
PP590743,Muraenolepis sp.
PP590742,Muraenolepis sp.
PP590741,Muraenolepis sp.
PP590740,Muraenolepis sp.
PP590730,Muraenolepis sp.
PP590729,Muraenolepis sp.
PP516520,Rattus rattus
PP516519,Rattus rattus
PP516518,Rattus rattus
PP516517,Rattus rattus
PP516516,Rattus rattus
PP516515,Rattus rattus
PP516514,Rattus rattus
PP516513,Rattus rattus
PP516512,Rattus rattus
PP516511,Rattus rattus
PP516510,Rattus rattus
PP516509,Rattus rattus
PP516508,Rattus rattus
PP516507,Rattus rattus
PP516506,Rattus rattus
PP516505,Rattus rattus
PP516504,Rattus rattus
PP516503,Rattus rattus
OP728001,Microgale brevicaudata; sex: male
OP728000,Rattus rattus; sex: female
OP727999,Rattus rattus; sex: female
OP727998,Rattus rattus; sex: female
OP727997,Rattus rattus; sex: male
ON653001,Rattus rattus; female
ON653000,Rattus rattus; female
ON652999,Rattus rattus; male
ON652998,Rattus rattus; male
ON652997,Mus musculus; male
ON652996,Rattus rattus; male
ON652995,Rattus rattus; male
ON652994,Rattus rattus; male
ON652993,Mus musculus; male
ON652992,Mus musculus; male
ON652991,Rattus rattus; male
ON652990,Mus musculus; male
ON652989,Mus musculus; female
ON652988,Rattus rattus; female
ON652987,Rattus rattus; male
ON652986,Mus musculus; female
PP711884,Rousettus aegyptiacus
PP711883,Aethomys hindei
PP711882,Coleura afra
PP711881,Miniopterus sp. clade 1 TD-2020
PP711880,Rousettus aegyptiacus
PP711879,Miniopterus sp. clade 10 TD-2020
PP711878,Miniopterus sp. clade 1 TD-2020
PP711877,Miniopterus sp. clade 10 TD-2020
PP711876,Miniopterus sp. B76
PP711875,Miniopterus minor
PP711874,Miniopterus sp. B76
PP711873,Miniopterus sp. clade 10 TD-2020
PP711872,Rousettus aegyptiacus
PP711871,Rousettus aegyptiacus
PP711870,Miniopterus sp. clade 1 TD-2020
PP711869,Cardioderma cor
PP711868,Hipposideros caffer
PP711867,Miniopterus sp. clade 10 TD-2020
PP711866,Mops condylurus
PP711865,Miniopterus sp. clade 10 TD-2020
PP711864,Coleura afra
PP711863,Miniopterus sp. clade 10 TD-2020
PP711862,Cardioderma cor
PP711861,Coleura afra
PP711860,Mops condylurus
PP711859,Mops condylurus
PP711858,Mops condylurus
PP711857,Mops condylurus
PP711856,Mops condylurus
PP711855,Coleura afra
PP711854,Coleura afra
PP711853,Coleura afra
OQ236140,Rousettus leschenaultii
OQ236139,Rhinolophus sinicus
OQ236138,Rhinolophus sinicus
OQ236137,Rhinolophus pearsonii
OQ236136,Myotis sp.
OQ236135,Myotis ricketti
OQ236134,Myotis ricketti
OQ236133,Myotis ricketti
OQ236132,Ia io
OQ236131,Hipposideros armiger
OQ236130,Hipposideros armiger
OQ236129,Hipposideros armiger
OQ236128,Hipposideros armiger
OQ236127,Hipposideros armiger
OQ236126,Hipposideros armiger
OQ236125,Hipposideros armiger
OQ236124,Hipposideros armiger
OQ236123,Hipposideros armiger
OQ236122,Hipposideros armiger
OQ236121,Hipposideros armiger
OQ236157,Rhizomys pruinosus
OQ236156,Rhizomys pruinosus
OQ236114,Rhinolophus pusillus
OQ236113,Rattus pyctoris
OQ236112,Niviventer sp.
OQ236111,Miniopterus fuliginosus
OQ236110,Caracal caracal
PP700500,Eviota sp.
PP700499,Dascyllus reticulatus
PP700498,Chaetodon baronessa
PP700497,Plagiotremus tapeinosoma
PP700496,Chromis viridis
PP825914,Nyctalus plancyi; sex: female
PP825913,Nyctalus plancyi; sex: male
PP825912,Rhinolophus pusillus; sex: male
PP825911,Scotophilus kuhlii; sex: male
PP825910,Scotophilus kuhlii; sex: female
PP825909,Scotophilus kuhlii; sex: male
PP825908,Scotophilus kuhlii; sex: female
PP825907,Scotophilus kuhlii; sex: female
PP825906,Scotophilus kuhlii; sex: male
PP825905,Scotophilus kuhlii; sex: female
PP825904,Scotophilus kuhlii; sex: female
PP825903,Scotophilus kuhlii; sex: female
PP825902,Scotophilus kuhlii; sex: female
